"Epoch (UTC)",""
2013-02-14T01:04:04.182Z,0.72475
2013-02-14T01:04:15.038Z,1.0522
2013-02-14T01:04:25.894Z,0.073880
2013-02-14T01:04:36.749Z,0.33543
2013-02-14T01:04:47.605Z,0.23258
2013-02-14T01:04:58.461Z,0.31551
2013-02-14T01:05:09.317Z,0.53858
2013-02-14T01:05:20.173Z,0.36399
2013-02-14T01:05:31.028Z,NaN
2013-02-14T01:05:41.884Z,0.35904
2013-02-14T01:05:52.740Z,NaN
2013-02-14T01:06:03.595Z,0.61124
2013-02-14T01:06:14.451Z,0.30987
2013-02-14T01:06:25.307Z,0.70145
2013-02-14T01:06:36.163Z,0.85005
2013-02-14T01:06:47.019Z,NaN
2013-02-14T01:06:57.875Z,NaN
2013-02-14T01:07:08.730Z,0.47136
2013-02-14T01:07:19.586Z,0.39868
2013-02-14T01:07:30.442Z,NaN
2013-02-14T01:07:41.298Z,0.072516
2013-02-14T01:07:52.154Z,0.80054
2013-02-14T01:08:03.009Z,0.35081
2013-02-14T01:08:13.865Z,NaN
2013-02-14T01:08:24.721Z,NaN
2013-02-14T01:08:35.577Z,1.1180
2013-02-14T01:08:46.433Z,NaN
2013-02-14T01:08:57.289Z,0.88587
2013-02-14T01:09:08.144Z,0.26271
2013-02-14T01:09:19.000Z,0.44696
2013-02-14T01:09:29.856Z,0.49317
2013-02-14T01:09:40.712Z,NaN
2013-02-14T01:09:51.568Z,NaN
2013-02-14T01:10:02.424Z,0.45060
2013-02-14T01:10:13.279Z,1.2600
2013-02-14T01:10:24.135Z,NaN
2013-02-14T01:10:34.991Z,0.46164
2013-02-14T01:10:45.847Z,NaN
2013-02-14T01:10:56.703Z,0.59865
2013-02-14T01:11:07.559Z,0.011688
2013-02-14T01:11:18.414Z,NaN
2013-02-14T01:11:29.270Z,NaN
2013-02-14T01:11:40.126Z,0.12626
2013-02-14T01:11:50.982Z,0.26022
2013-02-14T01:12:01.837Z,0.39788
2013-02-14T01:12:12.693Z,0.19662
2013-02-14T01:12:23.549Z,0.44685
